Sample_label	PANGAEA	[TARA_station#]	Latitude	Longitude	Sampling_depth	EnvironmentalFeature	Size_Fraction_lower	Size_fraction_upper 	Marine_pelagic_biomes_Longhurst_2007	Ocean_sea_regions	Marine_pelagic_biomes
TARA_076_MES_0.22-3	TARA_B100000749	TARA_076	-20.9315	-35.1794	800	(MES)	0.22	3	Trades	(SAO)	(SATL)
TARA_076_MES_0.45-0.8	TARA_Y100000815	TARA_076	-20.9315	-35.1794	800	(MES)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_076_SRF_0.22-3	TARA_B100000513	TARA_076	-20.9354	-35.1803	5	(SRF)	0.22	3	Trades	(SAO)	(SATL)
TARA_076_SRF_0.22-0.45	TARA_Y100000816	TARA_076	-20.9354	-35.1803	5	(SRF)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_076_SRF_0.45-0.8	TARA_Y100000813	TARA_076	-20.9354	-35.1803	5	(SRF)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_076_SRF_<-0.22	TARA_R100001126	TARA_076	-20.9354	-35.1803	5	(SRF)	<	0.22	Trades	(SAO)	(SATL)
TARA_078_DCM_0.22-3	TARA_B100000530	TARA_078	-30.1484	-43.2705	120	(DCM)	0.22	3	Trades	(SAO)	(SATL)
TARA_078_DCM_0.22-0.45	TARA_Y100000996	TARA_078	-30.1484	-43.2705	120	(DCM)	0.22	0.45	Trades	(SAO)	(SATL)
TARA_078_DCM_0.45-0.8	TARA_Y100000994	TARA_078	-30.1484	-43.2705	120	(DCM)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_078_MES_0.22-3	TARA_B100000745	TARA_078	-30.1471	-43.2915	800	(MES)	0.22	3	Trades	(SAO)	(SATL)
TARA_078_MES_0.45-0.8	TARA_Y100001001	TARA_078	-30.1471	-43.2915	800	(MES)	0.45	0.8	Trades	(SAO)	(SATL)
TARA_078_SRF_0.22-3	TARA_B100000524	TARA_078	-30.1367	-43.2899	5	(SRF)	0.22	3	Trades	(SAO)	(SATL)
